City,State,abbreviation,,,
Big Pine Key,Florida,FL,,,
Blountstown,Florida,FL,,,
Boca Grande,Florida,FL,,,
Boca Raton,Florida,FL,,,
Bonifay,Florida,FL,,,
Bonita Springs,Florida,FL,,,
Boynton Beach,Florida,FL,,,
Bradenton,Florida,FL,,,
Brandon,Florida,FL,,,
Branford,Florida,FL,,,
Bronson,Florida,FL,,,
Brooksville,Florida,FL,,,
Bunnell,Florida,FL,,,
Bushnell,Florida,FL,,,
Callahan,Florida,FL,,,
Candler,Florida,FL,,,
Cape Canaveral,Florida,FL,,,
Cape Coral,Florida,FL,,,
Casselberry,Florida,FL,,,
Century,Florida,FL,,,
Chattahoochee,Florida,FL,,,
Chiefland,Florida,FL,,,
Chipley,Florida,FL,,,
Clarcona,Florida,FL,,,
Clearwater,Florida,FL,,,
Clermont,Florida,FL,,,
Clewiston,Florida,FL,,,
Cocoa,Florida,FL,,,
Cocoa Beach,Florida,FL,,,
Cottondale,Florida,FL,,,
Crawfordville,Florida,FL,,,
Crescent City,Florida,FL,,,
Crestview,Florida,FL,,,
Cross City,Florida,FL,,,
Crystal River,Florida,FL,,,
Crystal Springs,Florida,FL,,,
Dade City,Florida,FL,,,
Dania Beach,Florida,FL,,,
Davenport,Florida,FL,,,
Daytona Beach,Florida,FL,,,
De Leon Springs,Florida,FL,,,
DeBary,Florida,FL,,,
Deerfield Beach,Florida,FL,,,
DeFuniak Springs,Florida,FL,,,
DeLand,Florida,FL,,,
Delray Beach,Florida,FL,,,
Deltona,Florida,FL,,,
Destin,Florida,FL,,,
Dover,Florida,FL,,,
Dundee,Florida,FL,,,
Dunedin,Florida,FL,,,
Eagle Lake,Florida,FL,,,
Eastpoint,Florida,FL,,,
Edgewater,Florida,FL,,,
Eglin Air Force Base,Florida,FL,,,
Elfers,Florida,FL,,,
Ellenton,Florida,FL,,,
Englewood,Florida,FL,,,
Estero,Florida,FL,,,
Eustis,Florida,FL,,,
Fernandina Beach,Florida,FL,,,
Flagler Beach,Florida,FL,,,
Freeport,Florida,FL,,,
Frostproof,Florida,FL,,,
Fruitland Park,Florida,FL,,,
Fort Lauderdale,Florida,FL,,,
Fort Meade,Florida,FL,,,
Fort Myers,Florida,FL,,,
Fort Myers Beach,Florida,FL,,,
Fort Pierce,Florida,FL,,,
Fort Walton Beach,Florida,FL,,,
Gainesville,Florida,FL,,,
Geneva,Florida,FL,,,
Gibsonton,Florida,FL,,,
Glenwood,Florida,FL,,,
Goldenrod,Florida,FL,,,
Graceville,Florida,FL,,,
Graham,Florida,FL,,,
Green Cove Springs,Florida,FL,,,
Groveland,Florida,FL,,,
Gulf Breeze,Florida,FL,,,
Haines City,Florida,FL,,,
Hallandale Beach,Florida,FL,,,
Havana,Florida,FL,,,
Hawthorne,Florida,FL,,,
Hernando,Florida,FL,,,
Hialeah,Florida,FL,,,
High Springs,Florida,FL,,,
Hilliard,Florida,FL,,,
Hobe Sound,Florida,FL,,,
Holiday,Florida,FL,,,
Hollywood,Florida,FL,,,
Homestead,Florida,FL,,,
Homosassa,Florida,FL,,,
Homosassa Springs,Florida,FL,,,
Hudson,Florida,FL,,,
Hurlburt Field,Florida,FL,,,
Immokalee,Florida,FL,,,
Indialantic,Florida,FL,,,
Indian Rocks Beach,Florida,FL,,,
Indiantown,Florida,FL,,,
Inverness,Florida,FL,,,
Islamorada,Florida,FL,,,
Jacksonville,Florida,FL,,,
Jacksonville Beach,Florida,FL,,,
Jasper,Florida,FL,,,
Jay,Florida,FL,,,
Jensen Beach,Florida,FL,,,
Jupiter,Florida,FL,,,
Kenansville,Florida,FL,,,
Key Biscayne,Florida,FL,,,
Key Largo,Florida,FL,,,
Key West,Florida,FL,,,
Keystone Heights,Florida,FL,,,
Kissimmee,Florida,FL,,,
LaBelle,Florida,FL,,,
Lady Lake,Florida,FL,,,
Lake Butler,Florida,FL,,,
Lake City,Florida,FL,,,
Lake Helen,Florida,FL,,,
Lake Mary,Florida,FL,,,
Lake Placid,Florida,FL,,,
Lake Wales,Florida,FL,,,
Lake Worth,Florida,FL,,,
Lakeland,Florida,FL,,,
Land O  Lakes,Florida,FL,,,
Largo,Florida,FL,,,
Laurel Hill,Florida,FL,,,
Lecanto,Florida,FL,,,
Lee,Florida,FL,,,
Leesburg,Florida,FL,,,
Lehigh Acres,Florida,FL,,,
Live Oak,Florida,FL,,,
Longboat Key,Florida,FL,,,
Longwood,Florida,FL,,,
Loxahatchee Groves,Florida,FL,,,
Lutz,Florida,FL,,,
Lynn Haven,Florida,FL,,,
Macclenny,Florida,FL,,,
Madison,Florida,FL,,,
Maitland,Florida,FL,,,
Malabar,Florida,FL,,,
Marathon,Florida,FL,,,
Marco Island,Florida,FL,,,
Marianna,Florida,FL,,,
Mary Esther,Florida,FL,,,
Mayo,Florida,FL,,,
McDavid,Florida,FL,,,
Melbourne,Florida,FL,,,
Merritt Island,Florida,FL,,,
Mexico Beach,Florida,FL,,,
Miami,Florida,FL,,,
Miami Beach,Florida,FL,,,
Middleburg,Florida,FL,,,
Milton,Florida,FL,,,
Minneola,Florida,FL,,,
Molino,Florida,FL,,,
Monticello,Florida,FL,,,
Montverde,Florida,FL,,,
Mount Dora,Florida,FL,,,
Mount Pleasant,Florida,FL,,,
Mulberry,Florida,FL,,,
Myakka City,Florida,FL,,,
Naples,Florida,FL,,,
Navarre,Florida,FL,,,
Neptune Beach,Florida,FL,,,
New Port Richey,Florida,FL,,,
New Smyrna Beach,Florida,FL,,,
Newberry,Florida,FL,,,
Niceville,Florida,FL,,,
Nokomis,Florida,FL,,,
North Fort Myers,Florida,FL,,,
North Miami Beach,Florida,FL,,,
North Palm Beach,Florida,FL,,,
North Port,Florida,FL,,,
Ocala,Florida,FL,,,
Ocoee,Florida,FL,,,
Odessa,Florida,FL,,,
Okahumpka,Florida,FL,,,
Okeechobee,Florida,FL,,,
Oldsmar,Florida,FL,,,
Opa-locka,Florida,FL,,,
Orange City,Florida,FL,,,
Orange Park,Florida,FL,,,
Orlando,Florida,FL,,,
Ormond Beach,Florida,FL,,,
Osprey,Florida,FL,,,
Oviedo,Florida,FL,,,
Pahokee,Florida,FL,,,
Palatka,Florida,FL,,,
Palm Bay,Florida,FL,,,
Palm Beach,Florida,FL,,,
Palm City,Florida,FL,,,
Palm Coast,Florida,FL,,,
Palm Harbor,Florida,FL,,,
Palmetto,Florida,FL,,,
Panama City,Florida,FL,,,
Panama City Beach,Florida,FL,,,
Patrick Air Force Base,Florida,FL,,,
Pembroke Pines,Florida,FL,,,
Pensacola,Florida,FL,,,
Perry,Florida,FL,,,
Pierson,Florida,FL,,,
Pinellas Park,Florida,FL,,,
Placida,Florida,FL,,,
Plant City,Florida,FL,,,
Plymouth,Florida,FL,,,
Polk City,Florida,FL,,,
Pomona Park,Florida,FL,,,
Pompano Beach,Florida,FL,,,
Ponte Vedra Beach,Florida,FL,,,
Port Charlotte,Florida,FL,,,
Port Orange,Florida,FL,,,
Port Richey,Florida,FL,,,
Port Saint Joe,Florida,FL,,,
Port St. Lucie,Florida,FL,,,
Punta Gorda,Florida,FL,,,
Quincy,Florida,FL,,,
Reddick,Florida,FL,,,
Riverview,Florida,FL,,,
Rockledge,Florida,FL,,,
Safety Harbor,Florida,FL,,,
San Antonio,Florida,FL,,,
Sanford,Florida,FL,,,
Sanibel,Florida,FL,,,
Sarasota,Florida,FL,,,
Satellite Beach,Florida,FL,,,
Sebastian,Florida,FL,,,
Sebring,Florida,FL,,,
Seffner,Florida,FL,,,
Seminole,Florida,FL,,,
Shalimar,Florida,FL,,,
Silver Springs,Florida,FL,,,
Sorrento,Florida,FL,,,
South Bay,Florida,FL,,,
Spring Hill,Florida,FL,,,
St. Augustine,Florida,FL,,,
Saint Cloud,Florida,FL,,,
Saint James City,Florida,FL,,,
St. Petersburg,Florida,FL,,,
Starke,Florida,FL,,,
Stuart,Florida,FL,,,
Summerland Key,Florida,FL,,,
Sun City,Florida,FL,,,
Sunnyside,Florida,FL,,,
Tallahassee,Florida,FL,,,
Tampa,Florida,FL,,,
Tarpon Springs,Florida,FL,,,
Tavares,Florida,FL,,,
Tavernier,Florida,FL,,,
Thonotosassa,Florida,FL,,,
Titusville,Florida,FL,,,
Trenton,Florida,FL,,,
Valparaiso,Florida,FL,,,
Valrico,Florida,FL,,,
Venice,Florida,FL,,,
Venus,Florida,FL,,,
Vero Beach,Florida,FL,,,
Wabasso,Florida,FL,,,
Wauchula,Florida,FL,,,
Wellborn,Florida,FL,,,
West Palm Beach,Florida,FL,,,
Weston,Florida,FL,,,
Wildwood,Florida,FL,,,
Williston,Florida,FL,,,
Wimauma,Florida,FL,,,
Windermere,Florida,FL,,,
Winter Garden,Florida,FL,,,
Winter Haven,Florida,FL,,,
Winter Park,Florida,FL,,,
Winter Springs,Florida,FL,,,
Yulee,Florida,FL,,,
Zellwood,Florida,FL,,,
Zephyrhills,Florida,FL,,,
Apollo Beach,Florida,FL,,,
Aventura,Florida,FL,,,
Azalea Park,Florida,FL,,,
Bal Harbour,Florida,FL,,,
Bay Lake,Florida,FL,,,
Bayonet Point,Florida,FL,,,
Bayshore Gardens,Florida,FL,,,
Bee Ridge,Florida,FL,,,
Bellair-Meadowbrook Terrace,Florida,FL,,,
Belle Isle,Florida,FL,,,
Bellview,Florida,FL,,,
Beverly Hills,Florida,FL,,,
Bithlo,Florida,FL,,,
Boca Del Mar,Florida,FL,,,
Brent,Florida,FL,,,
Buckingham,Florida,FL,,,
Buena Ventura Lakes,Florida,FL,,,
Callaway,Florida,FL,,,
Captiva,Florida,FL,,,
Celebration,Florida,FL,,,
Cheval,Florida,FL,,,
Citrus Park,Florida,FL,,,
Citrus Springs,Florida,FL,,,
Coconut Creek,Florida,FL,,,
Cooper City,Florida,FL,,,
Coral Gables,Florida,FL,,,
Coral Springs,Florida,FL,,,
Coral Terrace,Florida,FL,,,
Country Club,Florida,FL,,,
Cutler Bay,Florida,FL,,,
Cypress Gardens,Florida,FL,,,
Cypress Lake,Florida,FL,,,
Davie,Florida,FL,,,
Daytona Beach Shores,Florida,FL,,,
Desoto Lakes,Florida,FL,,,
Doctor Phillips,Florida,FL,,,
Doral,Florida,FL,,,
Duck Key,Florida,FL,,,
Dunnellon,Florida,FL,,,
East Lake,Florida,FL,,,
East Lake-Orient Park,Florida,FL,,,
Egypt Lake-Leto,Florida,FL,,,
Ensley,Florida,FL,,,
Fairview Shores,Florida,FL,,,
Feather Sound,Florida,FL,,,
Ferry Pass,Florida,FL,,,
Florida City,Florida,FL,,,
Forest City,Florida,FL,,,
Fontainebleau,Florida,FL,,,
Four Corners,Florida,FL,,,
Fruit Cove,Florida,FL,,,
Fruitville,Florida,FL,,,
Gateway,Florida,FL,,,
Glenvar Heights,Florida,FL,,,
Golden Gate,Florida,FL,,,
Golf,Florida,FL,,,
Gonzalez,Florida,FL,,,
Greater Carrollwood,Florida,FL,,,
Greater Northdale,Florida,FL,,,
Greenacres,Florida,FL,,,
Gulf Gate Estates,Florida,FL,,,
Gulfport,Florida,FL,,,
Hamptons at Boca Raton,Florida,FL,,,
Harbour Heights,Florida,FL,,,
Heathrow,Florida,FL,,,
Hialeah Gardens,Florida,FL,,,
Holly Hill,Florida,FL,,,
Holmes Beach,Florida,FL,,,
Hunters Creek,Florida,FL,,,
Indian Harbour Beach,Florida,FL,,,
Interlachen,Florida,FL,,,
Inverness Highlands South,Florida,FL,,,
Iona,Florida,FL,,,
Ives Estates,Florida,FL,,,
Jan Phyl Village,Florida,FL,,,
Jasmine Estates,Florida,FL,,,
Juno Beach,Florida,FL,,,
Kathleen,Florida,FL,,,
Kendale Lakes,Florida,FL,,,
Kendall,Florida,FL,,,
Kendall West,Florida,FL,,,
Keystone,Florida,FL,,,
Kings Point,Florida,FL,,,
Laguna Beach,Florida,FL,,,
Lake Butler,Florida,FL,,,
Lake Hart,Florida,FL,,,
Lake Lorraine,Florida,FL,,,
Lake Magdalene,Florida,FL,,,
Lakeland Highlands,Florida,FL,,,
Lakeside,Florida,FL,,,
Lakewood Park,Florida,FL,,,
Lantana,Florida,FL,,,
Lauderdale Lakes,Florida,FL,,,
Lauderdale-by-the-Sea,Florida,FL,,,
Lauderhill,Florida,FL,,,
Laurel,Florida,FL,,,
Leisure City,Florida,FL,,,
Lely Resort,Florida,FL,,,
Lighthouse Point,Florida,FL,,,
Lockhart,Florida,FL,,,
Loughman,Florida,FL,,,
Lower Grand Lagoon,Florida,FL,,,
Madeira Beach,Florida,FL,,,
Mango,Florida,FL,,,
Margate,Florida,FL,,,
Meadow Woods,Florida,FL,,,
Medley,Florida,FL,,,
Melbourne Beach,Florida,FL,,,
Miami Gardens,Florida,FL,,,
Miami Lakes,Florida,FL,,,
Miami Shores,Florida,FL,,,
Miami Springs,Florida,FL,,,
Miramar,Florida,FL,,,
Miramar Beach,Florida,FL,,,
Mission Bay,Florida,FL,,,
Mount Plymouth,Florida,FL,,,
Myrtle Grove,Florida,FL,,,
Naranja,Florida,FL,,,
New Port Richey East,Florida,FL,,,
North Bay Village,Florida,FL,,,
North Lauderdale,Florida,FL,,,
North Miami,Florida,FL,,,
North Naples,Florida,FL,,,
North Redington Beach,Florida,FL,,,
North Sarasota,Florida,FL,,,
North Weeki Wachee,Florida,FL,,,
Oak Ridge,Florida,FL,,,
Oakland Park,Florida,FL,,,
Okaloosa Island,Florida,FL,,,
Orangetree,Florida,FL,,,
Pace,Florida,FL,,,
Palm Beach Gardens,Florida,FL,,,
Palm Beach Shores,Florida,FL,,,
Palm River-Clair Mel,Florida,FL,,,
Palm Springs,Florida,FL,,,
Palm Valley,Florida,FL,,,
Palmetto Bay,Florida,FL,,,
Palmetto Estates,Florida,FL,,,
Parkland,Florida,FL,,,
Pensacola Beach,Florida,FL,,,
Perdido Key,Florida,FL,,,
Pine Hills,Florida,FL,,,
Pine Ridge,Florida,FL,,,
Pinecrest,Florida,FL,,,
Plantation,Florida,FL,,,
Poinciana,Florida,FL,,,
Port Salerno,Florida,FL,,,
Port Saint John,Florida,FL,,,
Princeton,Florida,FL,,,
Richmond West,Florida,FL,,,
Ridge Manor,Florida,FL,,,
Riviera Beach,Florida,FL,,,
Rotonda West,Florida,FL,,,
Royal Palm Beach,Florida,FL,,,
Ruskin,Florida,FL,,,
Samoset,Florida,FL,,,
San Carlos Park,Florida,FL,,,
Sandalfoot Cove,Florida,FL,,,
Sarasota Springs,Florida,FL,,,
Shady Hills,Florida,FL,,,
Siesta Key,Florida,FL,,,
Silver Springs Shores,Florida,FL,,,
Sky Lake,Florida,FL,,,
South Bradenton,Florida,FL,,,
South Miami,Florida,FL,,,
South Miami Heights,Florida,FL,,,
South Venice,Florida,FL,,,
Southchase,Florida,FL,,,
Saint Augustine Beach,Florida,FL,,,
Saint Augustine Shores,Florida,FL,,,
Saint Pete Beach,Florida,FL,,,
Sugarmill Woods,Florida,FL,,,
Sun City Center,Florida,FL,,,
Sunny Isles Beach,Florida,FL,,,
Sunrise,Florida,FL,,,
Sunset,Florida,FL,,,
Surfside,Florida,FL,,,
Tamarac,Florida,FL,,,
Tamiami,Florida,FL,,,
Temple Terrace,Florida,FL,,,
Tequesta,Florida,FL,,,
The Crossings,Florida,FL,,,
The Hammocks,Florida,FL,,,
The Meadows,Florida,FL,,,
The Villages,Florida,FL,,,
Three Lakes,Florida,FL,,,
Three Oaks,Florida,FL,,,
Town  n  Country,Florida,FL,,,
Treasure Island,Florida,FL,,,
Trinity,Florida,FL,,,
Tyndall Air Force Base,Florida,FL,,,
Umatilla,Florida,FL,,,
Union Park,Florida,FL,,,
University,Florida,FL,,,
University Park,Florida,FL,,,
Upper Grand Lagoon,Florida,FL,,,
Vamo,Florida,FL,,,
Villas,Florida,FL,,,
Vineyards,Florida,FL,,,
Warrington,Florida,FL,,,
Wedgefield,Florida,FL,,,
Wekiva Springs,Florida,FL,,,
Wellington,Florida,FL,,,
Wesley Chapel,Florida,FL,,,
Wesley Chapel South,Florida,FL,,,
West Little River,Florida,FL,,,
West Melbourne,Florida,FL,,,
West Pensacola,Florida,FL,,,
Westchase,Florida,FL,,,
Westchester,Florida,FL,,,
Westview,Florida,FL,,,
Whisper Walk,Florida,FL,,,
Whitfield,Florida,FL,,,
Williamsburg,Florida,FL,,,
Willow Oak,Florida,FL,,,
Wilton Manors,Florida,FL,,,
Wright,Florida,FL,,,
Zephyrhills West,Florida,FL,,,
Abbeville,Georgia,GA,,,
Acworth,Georgia,GA,,,
Adairsville,Georgia,GA,,,
Adel,Georgia,GA,,,
Alamo,Georgia,GA,,,
Albany,Georgia,GA,,,
Alma,Georgia,GA,,,
Alpharetta,Georgia,GA,,,
Americus,Georgia,GA,,,
Appling,Georgia,GA,,,
Ashburn,Georgia,GA,,,
Athens,Georgia,GA,,,
Atlanta,Georgia,GA,,,
Auburn,Georgia,GA,,,
Augusta,Georgia,GA,,,
Austell,Georgia,GA,,,
Avondale Estates,Georgia,GA,,,
Bainbridge,Georgia,GA,,,
Ball Ground,Georgia,GA,,,
Barnesville,Georgia,GA,,,
Bartow,Georgia,GA,,,
Baxley,Georgia,GA,,,
Blackshear,Georgia,GA,,,
Blairsville,Georgia,GA,,,
Blakely,Georgia,GA,,,
Blue Ridge,Georgia,GA,,,
Blythe,Georgia,GA,,,
Bogart,Georgia,GA,,,
Bolingbroke,Georgia,GA,,,
Bowdon,Georgia,GA,,,
Braselton,Georgia,GA,,,
Bremen,Georgia,GA,,,
Brooklet,Georgia,GA,,,
Brunswick,Georgia,GA,,,
Buchanan,Georgia,GA,,,
Buckhead,Georgia,GA,,,
Buena Vista,Georgia,GA,,,
Buford,Georgia,GA,,,
Butler,Georgia,GA,,,
Byron,Georgia,GA,,,
Cairo,Georgia,GA,,,
Calhoun,Georgia,GA,,,
Camak,Georgia,GA,,,
Camilla,Georgia,GA,,,
Canton,Georgia,GA,,,
Carnesville,Georgia,GA,,,
Carrollton,Georgia,GA,,,
Cartersville,Georgia,GA,,,
Cave Spring,Georgia,GA,,,
Cedartown,Georgia,GA,,,
Chatsworth,Georgia,GA,,,
Chickamauga,Georgia,GA,,,
Clarkesville,Georgia,GA,,,
Clarkston,Georgia,GA,,,
Clayton,Georgia,GA,,,
Clermont,Georgia,GA,,,
Cleveland,Georgia,GA,,,
Cobb,Georgia,GA,,,
Cochran,Georgia,GA,,,
Colquitt,Georgia,GA,,,
Columbus,Georgia,GA,,,
Commerce,Georgia,GA,,,
Concord,Georgia,GA,,,
Conley,Georgia,GA,,,
Conyers,Georgia,GA,,,
Cordele,Georgia,GA,,,
Cornelia,Georgia,GA,,,
Covington,Georgia,GA,,,
Crawfordville,Georgia,GA,,,
Crescent,Georgia,GA,,,
Cumming,Georgia,GA,,,
Cusseta,Georgia,GA,,,
Cuthbert,Georgia,GA,,,
Dacula,Georgia,GA,,,
Dahlonega,Georgia,GA,,,
Dallas,Georgia,GA,,,
Dalton,Georgia,GA,,,
Danielsville,Georgia,GA,,,
Darien,Georgia,GA,,,
Dawson,Georgia,GA,,,
Dawsonville,Georgia,GA,,,
Dearing,Georgia,GA,,,
Decatur,Georgia,GA,,,
Demorest,Georgia,GA,,,
Dexter,Georgia,GA,,,
Dillard,Georgia,GA,,,
Donalsonville,Georgia,GA,,,
Douglas,Georgia,GA,,,
Douglasville,Georgia,GA,,,
Dublin,Georgia,GA,,,
Duluth,Georgia,GA,,,
East Ellijay,Georgia,GA,,,
Eastman,Georgia,GA,,,
Eatonton,Georgia,GA,,,
Edison,Georgia,GA,,,
Elberton,Georgia,GA,,,
Ellaville,Georgia,GA,,,
Ellenwood,Georgia,GA,,,
Ellijay,Georgia,GA,,,
Enigma,Georgia,GA,,,
Evans,Georgia,GA,,,
Experiment,Georgia,GA,,,
Fairburn,Georgia,GA,,,
Fairmount,Georgia,GA,,,
Farmington,Georgia,GA,,,
Fayetteville,Georgia,GA,,,
Fitzgerald,Georgia,GA,,,
Flowery Branch,Georgia,GA,,,
Folkston,Georgia,GA,,,
Forest Park,Georgia,GA,,,
Forsyth,Georgia,GA,,,
Franklin,Georgia,GA,,,
Franklin Springs,Georgia,GA,,,
Fort Benning,Georgia,GA,,,
Fort Gaines,Georgia,GA,,,
Fort Oglethorpe,Georgia,GA,,,
Fort Stewart,Georgia,GA,,,
Fort Valley,Georgia,GA,,,
Gainesville,Georgia,GA,,,
Glennville,Georgia,GA,,,
Glenwood,Georgia,GA,,,
Gordon,Georgia,GA,,,
Grantville,Georgia,GA,,,
Gray,Georgia,GA,,,
Grayson,Georgia,GA,,,
Greensboro,Georgia,GA,,,
Greenville,Georgia,GA,,,
Griffin,Georgia,GA,,,
Grovetown,Georgia,GA,,,
Guyton,Georgia,GA,,,
Hahira,Georgia,GA,,,
Hamilton,Georgia,GA,,,
Hampton,Georgia,GA,,,
Harlem,Georgia,GA,,,
Hartwell,Georgia,GA,,,
Hawkinsville,Georgia,GA,,,
Hazlehurst,Georgia,GA,,,
Helen,Georgia,GA,,,
Hephzibah,Georgia,GA,,,
Hiawassee,Georgia,GA,,,
Hinesville,Georgia,GA,,,
Hiram,Georgia,GA,,,
Homer,Georgia,GA,,,
Homerville,Georgia,GA,,,
Hoschton,Georgia,GA,,,
Irwinton,Georgia,GA,,,
Jackson,Georgia,GA,,,
Jasper,Georgia,GA,,,
Jefferson,Georgia,GA,,,
Jeffersonville,Georgia,GA,,,
Jenkinsburg,Georgia,GA,,,
Jesup,Georgia,GA,,,
Jewell,Georgia,GA,,,
Jonesboro,Georgia,GA,,,
Kennesaw,Georgia,GA,,,
Kings Bay Base,Georgia,GA,,,
Kingsland,Georgia,GA,,,
Kingston,Georgia,GA,,,
LaFayette,Georgia,GA,,,
LaGrange,Georgia,GA,,,
Lake Park,Georgia,GA,,,
Lakeland,Georgia,GA,,,
Lavonia,Georgia,GA,,,
Lawrenceville,Georgia,GA,,,
Leesburg,Georgia,GA,,,
Lenox,Georgia,GA,,,
Leslie,Georgia,GA,,,
Lexington,Georgia,GA,,,
Lilburn,Georgia,GA,,,
Lincolnton,Georgia,GA,,,
Lithia Springs,Georgia,GA,,,
Lithonia,Georgia,GA,,,
Lizella,Georgia,GA,,,
Locust Grove,Georgia,GA,,,
Loganville,Georgia,GA,,,
Lookout Mountain,Georgia,GA,,,
Louisville,Georgia,GA,,,
Ludowici,Georgia,GA,,,
Lula,Georgia,GA,,,
Luthersville,Georgia,GA,,,
Lyons,Georgia,GA,,,
Mableton,Georgia,GA,,,
Macon,Georgia,GA,,,
Madison,Georgia,GA,,,
Manchester,Georgia,GA,,,
Marble Hill,Georgia,GA,,,
Marietta,Georgia,GA,,,
McRae,Georgia,GA,,,
McDonough,Georgia,GA,,,
Meansville,Georgia,GA,,,
Menlo,Georgia,GA,,,
Metter,Georgia,GA,,,
Milledgeville,Georgia,GA,,,
Millen,Georgia,GA,,,
Monroe,Georgia,GA,,,
Montezuma,Georgia,GA,,,
Monticello,Georgia,GA,,,
Morgan,Georgia,GA,,,
Morrow,Georgia,GA,,,
Moultrie,Georgia,GA,,,
Mount Vernon,Georgia,GA,,,
Mountain City,Georgia,GA,,,
Nahunta,Georgia,GA,,,
Nashville,Georgia,GA,,,
Nelson,Georgia,GA,,,
Newington,Georgia,GA,,,
Newnan,Georgia,GA,,,
Newton,Georgia,GA,,,
Nicholls,Georgia,GA,,,
Norcross,Georgia,GA,,,
Oakwood,Georgia,GA,,,
Ochlocknee,Georgia,GA,,,
Ocilla,Georgia,GA,,,
Oconee,Georgia,GA,,,
Oglethorpe,Georgia,GA,,,
Oxford,Georgia,GA,,,
Palmetto,Georgia,GA,,,
Peachtree City,Georgia,GA,,,
Pearson,Georgia,GA,,,
Pelham,Georgia,GA,,,
Pembroke,Georgia,GA,,,
Pendergrass,Georgia,GA,,,
Perkins,Georgia,GA,,,
Perry,Georgia,GA,,,
Pine Lake,Georgia,GA,,,
Pine Mountain,Georgia,GA,,,
Pooler,Georgia,GA,,,
Powder Springs,Georgia,GA,,,
Preston,Georgia,GA,,,
Quitman,Georgia,GA,,,
Rabun Gap,Georgia,GA,,,
Ranger,Georgia,GA,,,
Redan,Georgia,GA,,,
Reidsville,Georgia,GA,,,
Rentz,Georgia,GA,,,
Rex,Georgia,GA,,,
Reynolds,Georgia,GA,,,
Riceboro,Georgia,GA,,,
Richmond Hill,Georgia,GA,,,
Rincon,Georgia,GA,,,
Ringgold,Georgia,GA,,,
Riverdale,Georgia,GA,,,
Roberta,Georgia,GA,,,
Rochelle,Georgia,GA,,,
Rock Spring,Georgia,GA,,,
Rockmart,Georgia,GA,,,
Rome,Georgia,GA,,,
Roopville,Georgia,GA,,,
Rossville,Georgia,GA,,,
Roswell,Georgia,GA,,,
Rutledge,Georgia,GA,,,
Sandersville,Georgia,GA,,,
Sardis,Georgia,GA,,,
Sautee Nacoochee,Georgia,GA,,,
Savannah,Georgia,GA,,,
Scottdale,Georgia,GA,,,
Screven,Georgia,GA,,,
Senoia,Georgia,GA,,,
Sharon,Georgia,GA,,,
Shellman,Georgia,GA,,,
Smyrna,Georgia,GA,,,
Snellville,Georgia,GA,,,
Social Circle,Georgia,GA,,,
Soperton,Georgia,GA,,,
Sparta,Georgia,GA,,,
Springfield,Georgia,GA,,,
Saint Marys,Georgia,GA,,,
Saint Simons Island,Georgia,GA,,,
Statenville,Georgia,GA,,,
Statesboro,Georgia,GA,,,
Statham,Georgia,GA,,,
Stockbridge,Georgia,GA,,,
Stone Mountain,Georgia,GA,,,
Summerville,Georgia,GA,,,
Suwanee,Georgia,GA,,,
Swainsboro,Georgia,GA,,,
Sylvania,Georgia,GA,,,
Sylvester,Georgia,GA,,,
Talbotton,Georgia,GA,,,
Tallapoosa,Georgia,GA,,,
Temple,Georgia,GA,,,
Tennille,Georgia,GA,,,
Thomaston,Georgia,GA,,,
Thomasville,Georgia,GA,,,
Thomson,Georgia,GA,,,
Tifton,Georgia,GA,,,
Toccoa,Georgia,GA,,,
Toccoa Falls,Georgia,GA,,,
Trenton,Georgia,GA,,,
Trion,Georgia,GA,,,
Tucker,Georgia,GA,,,
Tunnel Hill,Georgia,GA,,,
Tybee Island,Georgia,GA,,,
Tyrone,Georgia,GA,,,
Union City,Georgia,GA,,,
Union Point,Georgia,GA,,,
Valdosta,Georgia,GA,,,
Vidalia,Georgia,GA,,,
Vienna,Georgia,GA,,,
Villa Rica,Georgia,GA,,,
Waleska,Georgia,GA,,,
Warm Springs,Georgia,GA,,,
Warner Robins,Georgia,GA,,,
Warrenton,Georgia,GA,,,
Warwick,Georgia,GA,,,
Washington,Georgia,GA,,,
Watkinsville,Georgia,GA,,,
Waycross,Georgia,GA,,,
Waynesboro,Georgia,GA,,,
Waynesville,Georgia,GA,,,
West Point,Georgia,GA,,,
Whitesburg,Georgia,GA,,,
Winder,Georgia,GA,,,
Winston,Georgia,GA,,,
Winterville,Georgia,GA,,,
Woodstock,Georgia,GA,,,
Wrens,Georgia,GA,,,
Wrightsville,Georgia,GA,,,
Young Harris,Georgia,GA,,,
Zebulon,Georgia,GA,,,
Brookhaven,Georgia,GA,,,
Candler-McAfee,Georgia,GA,,,
Chamblee,Georgia,GA,,,
College Park,Georgia,GA,,,
Dock Junction,Georgia,GA,,,
Doraville,Georgia,GA,,,
Druid Hills,Georgia,GA,,,
Dunwoody,Georgia,GA,,,
East Point,Georgia,GA,,,
Garden City,Georgia,GA,,,
Georgetown,Georgia,GA,,,
Hapeville,Georgia,GA,,,
Holly Springs,Georgia,GA,,,
Johns Creek,Georgia,GA,,,
Martinez,Georgia,GA,,,
Midway,Georgia,GA,,,
Milton,Georgia,GA,,,
Mountain Park,Georgia,GA,,,
North Decatur,Georgia,GA,,,
North Druid Hills,Georgia,GA,,,
Panthersville,Georgia,GA,,,
Port Wentworth,Georgia,GA,,,
